group,series,t,algae,coral
1,2,71,0.514199674500273,0.006936890356144436
1,2,72,0.5151755521924655,0.006538790730631082
1,2,73,0.5932170844993043,0.006783732138551026
1,2,74,0.5617761596985871,0.006125787528356921
1,2,75,0.48844541372568046,0.005762406673187449
1,3,1,0.15946668110306977,0.09000587280844961
1,3,2,0.22280154496573634,0.12465566119605848
1,3,3,0.15613967473379897,0.11818728557256734
1,3,4,0.21331906462899888,0.12706463289461556
1,3,5,0.16352121714543164,0.1169023266705237
1,3,6,0.15725238416912143,0.13429468733022007
1,3,7,0.19873100224163662,0.16291872317430098
1,3,8,0.20366249815006335,0.1594412081641681
1,3,9,0.19381746372127145,0.19688631298389403
1,3,10,0.18777749098828167,0.1769060124307829
1,3,11,0.20292396238143334,0.21293770151729338
1,3,12,0.20763873732653942,0.2263320286579549
1,3,13,0.2035212585223928,0.2181273125991323
1,3,14,0.218817879346544,0.24404114964379556
1,3,15,0.2023545611011033,0.23156782329567666
1,3,16,0.2111085779812631,0.24715142796608713
1,3,17,0.24600933896704363,0.2949553139644614
1,3,18,0.22725164199422823,0.28999498788932837
1,3,19,0.24750529973867558,0.2710834961301599
1,3,20,0.24791980366304361,0.2962858307990958
1,3,21,0.24652768425390895,0.32086325588083486
1,3,22,0.2565484131332202,0.3202649139270189
1,3,23,0.27257849722189187,0.3284587674398197
1,3,24,0.2921563906170901,0.35023074940612214
1,3,25,0.2720185645891183,0.3339804958396368
1,3,26,0.29387503609900406,0.3559394229928625
1,3,27,0.3042972874821242,0.3357642699344599
1,3,28,0.28646326852302934,0.32396410151591465
1,3,29,0.28577295473318315,0.3021315833624007
1,3,30,0.3372401126485914,0.30054018469285987
1,3,31,0.3049389622385737,0.285766525962035
1,3,32,0.3458225142212313,0.31117636506660595
1,3,33,0.3634114958098674,0.3008105660817957
1,3,34,0.3570845584538964,0.3148144228106843
1,3,35,0.402637638022069,0.3200034617517761
1,3,36,0.36714823589395396,0.2867942062316792
1,3,37,0.4143821482947683,0.27353083390001304
1,3,38,0.406025773970422,0.2554494568887979
1,3,39,0.40954804388819627,0.258977285014357
1,3,40,0.4216792325752734,0.25079136017135956
1,3,41,0.39170816165496797,0.24233187066123427
1,3,42,0.4185984004775097,0.26785594667360263
1,3,43,0.44415646883135035,0.21211768094596528
1,3,44,0.43017033229095347,0.19941305289433828
1,3,45,0.44464062823030687,0.2145580660933549
1,3,46,0.4453295268454795,0.18955054284721248
1,3,47,0.46044638666452925,0.196522739386548
1,3,48,0.45100940032057885,0.18395206372447745
1,3,49,0.4464081039068473,0.19699514909838883
1,3,50,0.4624448942791143,0.1707864035301592
1,3,51,0.4819538085511719,0.16838235150753222
1,3,52,0.44253378589184006,0.15083786518723283
1,3,53,0.4759058613578128,0.1420932106559051
1,3,54,0.45304157007623164,0.1166081026260828
1,3,55,0.47260998482820826,0.11661538258780137
1,3,56,0.4560052596539483,0.1189582519122749
1,3,57,0.47149586073977734,0.13159820146186507
1,3,58,0.5303559563266268,0.11157858170620968
1,3,59,0.5520686751027305,0.10209327011849847
1,3,60,0.5276657175598908,0.09489440592963176
1,3,61,0.5220028477754795,0.10181882733323662
1,3,62,0.5313710621139064,0.0895929765377022
1,3,63,0.5306189607257801,0.07893481264457167
1,3,64,0.5236033564751604,0.08508437813242375
1,3,65,0.5552321514149079,0.07178336995268017
1,3,66,0.5474633773727224,0.076680423384945
1,3,67,0.5085097119182886,0.06851474547205359
1,3,68,0.5691034765141062,0.07219225846148584
1,3,69,0.5218657679827302,0.0802042034252806
1,3,70,0.5191720325516653,0.07288171694828824
1,3,71,0.4882388944593662,0.06256314153965302
1,3,72,0.45415210455589167,0.057137689222256004
1,3,73,0.48001168441909886,0.06342759892638261
1,3,74,0.4123940947402111,0.055982642195581106
1,3,75,0.48215221120029955,0.05334089599140225
1,4,1,0.1037241187832135,0.31831414629959504
1,4,2,0.10603194540808474,0.3170085223922366
1,4,3,0.09504936817748018,0.3367482569524257
1,4,4,0.10604809763619606,0.41550529068817443
1,4,5,0.10504589335174337,0.4005224352293141
1,4,6,0.10932769212385003,0.4110923570960364
1,4,7,0.12297990410325303,0.43235702567140494
1,4,8,0.1202551280094885,0.4372389492160582
1,4,9,0.11074724417376708,0.47766638622119834
1,4,10,0.12952624337622853,0.4818940572996603
1,4,11,0.15168217599849712,0.489846885516745
1,4,12,0.13651696353756676,0.47216407461927873
1,4,13,0.1340043895642549,0.5121273247610493
1,4,14,0.1253804938320196,0.48854311008791657
1,4,15,0.12008771637275262,0.48348531723134996
1,4,16,0.13750630453736165,0.5132802582625432
1,4,17,0.16297474936609688,0.5073826285950891
1,4,18,0.13706122926501024,0.47098294467863466
1,4,19,0.14216829948378487,0.5087697088233616
1,4,20,0.1366488887574463,0.5331533946913511
1,4,21,0.153627588208911,0.5281539099039763
1,4,22,0.15749088926604288,0.5761734626924815
1,4,23,0.1634393970593675,0.5572721690473356
1,4,24,0.17242314631274142,0.5586014431873061
1,4,25,0.16944395510598584,0.5202205566794255
1,4,26,0.17594907446044783,0.5437308943595609
1,4,27,0.18899520116289215,0.569708091107175
1,4,28,0.16983364712535376,0.5623632996954332
1,4,29,0.1817824924578219,0.5336342782945142
1,4,30,0.18172384130102884,0.5154659162728554
1,4,31,0.17539296121713885,0.556088890411731
1,4,32,0.18293968654569276,0.5340977159279984
1,4,33,0.18268801924542402,0.5123792677126134
1,4,34,0.19809705139751482,0.5512294121271588
1,4,35,0.1999067530938977,0.526898949422258
1,4,36,0.18912424333784644,0.5433942206524699
1,4,37,0.18794449981174768,0.543338009934126
1,4,38,0.19822361056575064,0.5027257498064119
