Column1,stock,t,y,H,limited_entry
3311,CPRROCKPCOAST,1950,1.38629436111989,0.0318808193668529,0
3312,CPRROCKPCOAST,1951,1.38256301350703,0.0449162011173184,0
3313,CPRROCKPCOAST,1952,1.37505828785296,0.0373184357541899,0
3314,CPRROCKPCOAST,1953,1.37128469846933,0.0302420856610801,0
3315,CPRROCKPCOAST,1954,1.36749681515239,0.0415642458100559,0
3316,CPRROCKPCOAST,1955,1.36369452920265,0.0516945996275605,0
3317,CPRROCKPCOAST,1956,1.35604630836439,0.0586219739292365,0
3318,CPRROCKPCOAST,1957,1.34833914111946,0.0517690875232775,0
3319,CPRROCKPCOAST,1958,1.3405721117818,0.0819366852886406,0
3320,CPRROCKPCOAST,1959,1.32880727020221,0.0644320297951583,0
3321,CPRROCKPCOAST,1960,1.32088643671077,0.0562383612662942,0
3322,CPRROCKPCOAST,1961,1.31690236769589,0.045586592178771,0
3323,CPRROCKPCOAST,1962,1.31690236769589,0.0525139664804469,0
3324,CPRROCKPCOAST,1963,1.31490436503322,0.0647299813780261,0
3325,CPRROCKPCOAST,1964,1.30888629270765,0.0618249534450652,0
3326,CPRROCKPCOAST,1965,1.30485402917972,0.0916201117318436,0
3327,CPRROCKPCOAST,1966,1.2926587560859,0.12364990689013,0
3328,CPRROCKPCOAST,1967,1.27199686402194,0.134078212290503,0
3329,CPRROCKPCOAST,1968,1.25089903505731,0.146741154562384,0
3330,CPRROCKPCOAST,1969,1.22716545072521,0.145251396648045,0
3331,CPRROCKPCOAST,1970,1.20285486122459,0.187709497206704,0
3332,CPRROCKPCOAST,1971,1.16872185485514,0.177281191806331,0
3333,CPRROCKPCOAST,1972,1.14055097788844,0.230912476722533,0
3334,CPRROCKPCOAST,1973,1.0942576939176,0.268901303538175,0
3335,CPRROCKPCOAST,1974,1.04046751933146,0.306890130353818,0
3336,CPRROCKPCOAST,1975,0.972414056086442,0.306890130353818,0
3337,CPRROCKPCOAST,1976,0.905431235527514,0.309869646182495,0
3338,CPRROCKPCOAST,1977,0.843299454420508,0.311359404096834,0
3339,CPRROCKPCOAST,1978,0.777050068879308,0.292737430167598,0
3340,CPRROCKPCOAST,1979,0.724313772798364,0.333705772811918,0
3341,CPRROCKPCOAST,1980,0.649372351506246,0.35828677839851,0
3342,CPRROCKPCOAST,1981,0.555617381968727,0.388081936685289,0
3343,CPRROCKPCOAST,1982,0.442630518575837,0.33147113594041,0
3344,CPRROCKPCOAST,1983,0.357791638638808,0.218249534450652,0
3345,CPRROCKPCOAST,1984,0.347320338771512,0.205586592178771,0
3346,CPRROCKPCOAST,1985,0.347320338771512,0.243575418994413,0
3347,CPRROCKPCOAST,1986,0.304302953687821,0.198137802607076,0
3348,CPRROCKPCOAST,1987,0.287682072451781,0.0878957169459963,0
3349,CPRROCKPCOAST,1988,0.342043281670668,0.128119180633147,0
3350,CPRROCKPCOAST,1989,0.352569694657656,0.134078212290503,0
3351,CPRROCKPCOAST,1990,0.357791638638808,0.134823091247672,0
3352,CPRROCKPCOAST,1991,0.362986455515912,0.134823091247672,0
3353,CPRROCKPCOAST,1992,0.357791638638808,0.13780260707635,1
3354,CPRROCKPCOAST,1993,0.352569694657656,0.125884543761639,1
3355,CPRROCKPCOAST,1994,0.362986455515912,0.108752327746741,1
3356,CPRROCKPCOAST,1995,0.383499995349014,0.0908752327746741,1
3357,CPRROCKPCOAST,1996,0.413502245652813,0.139292364990689,1
3358,CPRROCKPCOAST,1997,0.408563964012231,0.101303538175047,1
3359,CPRROCKPCOAST,1998,0.428172435400607,0.0864059590316574,1
3360,CPRROCKPCOAST,1999,0.456882541283038,0.0871508379888268,1
3361,CPRROCKPCOAST,2000,0.480193620151486,0.0500558659217877,1
3362,CPRROCKPCOAST,2001,0.525246284092429,0.0420111731843575,1
3363,CPRROCKPCOAST,2002,0.568356407746157,0.0318063314711359,1
3364,CPRROCKPCOAST,2003,0.617749163075734,0.0338175046554935,1
3365,CPRROCKPCOAST,2004,0.657124328310564,0.0294227188081937,1
3366,CPRROCKPCOAST,2005,0.698718225609401,0.0531843575418994,1
3367,CPRROCKPCOAST,2006,0.724313772798364,0.0420856610800745,1
3368,CPRROCKPCOAST,2007,0.759778482370647,0.0586964618249534,1
3369,CPRROCKPCOAST,2008,0.780468875628093,0.0487150837988827,1
3370,CPRROCKPCOAST,2009,0.810723283985896,0.0527374301675978,1
3371,CPRROCKPCOAST,2010,0.833637543508771,0.0433519553072626,1
3372,CPRROCKPCOAST,2011,0.862347649391203,0.0599627560521415,1
3373,CPRROCKPCOAST,2012,0.884121448940763,0.0708379888268156,1
