t,p1,p2,series
420.0,0.006599550256579454,0.90201995196569,3
432.0,0.0027833876601090694,0.9241023906903946,3
444.0,0.015811097283708428,0.7730459917321181,3
456.0,0.008047532416210777,0.9084528770742736,3
468.0,0.0617150868007457,0.24912438564651795,3
480.0,0.06583682402892686,0.23461520082983173,3
492.0,0.051279845168335746,0.3499110963963867,3
0.0,0.5002659638957694,0.04960395750068805,4
12.0,0.6517025399461982,0.00447618306470597,4
24.0,0.3029668248552281,0.006867891175454129,4
36.0,0.715861523588895,0.0031886520342400467,4
48.0,0.7508864460480738,0.0025589357894407264,4
60.0,0.7943322892238482,0.002162613702790309,4
72.0,0.6822861386563943,0.00401158279549281,4
84.0,0.8725340757358556,0.0012750807076963304,4
96.0,0.9398762594758248,0.0005248200786697179,4
108.0,0.6707424623460361,0.003972376102523238,4
120.0,0.6201459987740268,0.003371621108938135,4
132.0,0.5498488573818148,0.00541262278451724,4
144.0,0.43764831895098416,0.007249393880169161,4
156.0,0.8066350905546384,0.002175941379378788,4
168.0,0.7036839565502451,0.0031013327446884867,4
180.0,0.5573243339154543,0.004935133716789902,4
192.0,0.5885521578091527,0.005180325296257587,4
204.0,0.845534849854645,0.0016506235124397284,4
216.0,0.8200337750118963,0.001784052279251913,4
228.0,0.8928936065259551,0.0012588113926680254,4
240.0,0.9310097838546152,0.0006685920831389383,4
252.0,0.9288566504752293,0.0007387650141136193,4
264.0,0.9219169597187986,0.0006991625936546121,4
276.0,0.9369573687546373,0.000633716710082565,4
288.0,0.8870747733242977,0.0009769283935405484,4
300.0,0.13407509416914573,0.010706972434699851,4
312.0,0.6852351839587331,0.004304487018432952,4
324.0,0.8964820936375612,0.0010511034900008776,4
336.0,0.9221336350386767,0.0007518371724167605,4
348.0,0.8914697351072429,0.0009653995349144278,4
360.0,0.9003862062439698,0.0010032971655653663,4
372.0,0.8338821907885369,0.0012948404381871244,4
384.0,0.882389146062124,0.0011724216649349791,4
396.0,0.8438561635032265,0.0015182870604862025,4
408.0,0.3114375811010142,0.007007169839119389,4
420.0,0.6076125229575102,0.003991648945753026,4
432.0,0.8101747235797895,0.0016468965139893662,4
444.0,0.6870363167007524,0.00309818316389659,4
456.0,0.7175864714134549,0.002574143533813743,4
468.0,0.8140782017489528,0.002096902233717621,4
480.0,0.5798076533362222,0.0029915236108062036,4
492.0,0.2758785000184665,0.011831552644353174,4
