t,p1,p2,series
0.0,0.5000300227886069,0.0500093633899718,1
0.01,0.2869804798391316,0.07072869575471004,1
0.02,0.1639441018674973,0.1493853324570825,1
0.03,0.20697414963668254,0.2351530027896827,1
0.04,0.21175768101841458,0.3008369191928609,1
0.05,0.11529694765957293,0.4018665905404748,1
0.06,0.1256864526833442,0.43591033509941396,1
0.07,0.09441997288889632,0.371076199842016,1
0.08,0.10184234259922209,0.41877961515082973,1
0.09,0.06793475646137669,0.35531343997206155,1
0.1,0.0974734146301731,0.31873779894178866,1
0.11,0.13855584889684858,0.2396734210599275,1
0.12,0.18878345635151453,0.1047546517646989,1
0.13,0.16178574898930148,0.07643380456130443,1
0.14,0.17257788818638778,0.1133291641840675,1
0.15,0.17638790465080473,0.2019756805771058,1
0.16,0.2055820675077102,0.2919189946423951,1
0.17,0.20446224615531944,0.30795450481238257,1
0.18,0.2837840323209371,0.20686163708019914,1
0.19,0.39386032918850267,0.18891042002471825,1
0.2,0.4547572142331347,0.1428556845511891,1
0.21,0.2747225108825462,0.17368218933978893,1
0.22,0.20244516178379596,0.25903529791892294,1
0.23,0.23207310880576376,0.2851114723585747,1
0.24,0.2510947711480294,0.29192204588820797,1
0.25,0.28082946744367193,0.22388291517549222,1
0.26,0.39581100865070734,0.17293777613987574,1
0.27,0.4045510937737983,0.16953803818968108,1
0.28,0.34095524333403154,0.17587128272256222,1
0.29,0.2975494015986322,0.1467202722552237,1
0.3,0.3129634447565599,0.11545921955807152,1
0.31,0.3312777491324906,0.13124810013606805,1
0.32,0.3804693230047554,0.13475429103329797,1
0.33,0.46503017066119806,0.13727034157218185,1
0.34,0.5211626778626323,0.12794477395187395,1
0.35,0.5090329416181552,0.09299071487765417,1
0.36,0.5688069753465931,0.04954909358321833,1
0.37,0.6222157846640212,0.038990704646710096,1
0.38,0.6370361291090211,0.04029538300616806,1
0.39,0.6082663536471916,0.03810464174244578,1
0.4,0.6642715752517456,0.03795741150172768,1
0.41,0.7118830919313329,0.04006113269477527,1
0.42,0.6707997199809485,0.03855757454934073,1
